date,open,high,low,close,volume,ticker,return,short_term_return_3,sma_10,sma_20,ema_50,volatility_10,open_sector,high_sector,low_sector,sector_close,volume_sector,return_sector,short_term_return_3_sector,sector_sma_10,sector_sma_20,ema_50_sector,sector_volatility_10,sector_return_1d,vix_level,pe_ratio,eps,revenue_growth,debt_to_equity,roe,used_fallback,news_sentiment,pct_pred,direction,confidence,label,price_1d,price_3d,price_5d,forecast_date,pct_pred_xgboost,pct_pred_lightgbm,pct_pred_catboost,pct_pred_ensemble
2025-05-06,592.53,596.03,586.58,587.31,10352554,META,-0.0199576150983697,0.0263889131612518,560.9680000000001,541.8745,576.4138932099157,0.0223463605789727,96.7,98.02,96.66,97.63,4088296.0,-0.0002048131080389,0.0177212550818304,95.426,92.9195,95.47896182654334,0.0070842119273208,-0.0002048131080389,24.76,,,,,,False,0.1362875,0.5762486465094824,Up,0.65,Buy,590.6943659258149,597.521717248068,604.4279803202313,2025-05-07,1.1468655,-1.0505349287150516,1.632415381144805,0.5762486465094824
2025-05-08,606.29,611.3,596.62,598.01,14500247,META,0.0020106901694008,-0.00210255811237,575.108,546.8045,577.9824370418002,0.0207071988741033,98.04,98.62,97.37,97.68,3865182.0,0.0023601847101077,0.0003072196620583,96.369,93.6825,95.64364118161872,0.0049557160759113,0.0023601847101077,22.48,,,,,,False,0.616225,-1.8017417893573144,Down,0.65,Avoid,587.2354039254643,566.2651052481764,546.0436603076951,2025-05-09,-1.3753308,-3.1144805403602005,-0.9154140219332396,-1.8017417893573144
2025-05-09,603.72,606.97,591.71,592.49,10342848,META,-0.0092306148726609,0.0088198736612692,579.6299999999999,549.1144999999999,578.5638879970638,0.0209594442993291,98.01,98.09,97.03,97.18,4425933.0,-0.0051187551187551,-0.0046092389634332,96.651,94.0165,95.70723105842876,0.0056597517284212,-0.0051187551187551,21.9,,,,,,False,0.2891375,-0.9830258814988528,Down,0.95,Avoid,586.6656699547075,575.1882110511879,563.9352958181581,2025-05-11,-1.3468709,-1.0285284754210415,-0.5736782698750773,-0.9830258814988528
2025-05-12,630.92,640.39,621.03,639.43,21855261,META,0.0792249658222079,0.0714130125165464,588.5989999999999,553.9075,580.8917590232528,0.0306079939744092,99.5,99.52,98.32,99.2,3341269.0,0.0207861699938258,0.0179579271421241,97.099,94.413,95.84363685762712,0.0080029028351136,0.0207861699938258,18.39,,,,,,False,0.5747545454545455,-0.6969707701320177,Down,0.3,Avoid,634.9733598045448,626.1530473626784,617.4552564571425,2025-05-13,-2.6730843,0.2946998836308227,0.287472065006327,-0.6969707701320177
2025-05-13,645.54,660.92,642.83,656.03,18468077,META,0.0259606211782368,0.0970217889332953,598.758,560.135,583.6559796613494,0.0306552382222445,99.48,100.58,99.19,100.17,5383840.0,0.0097782258064516,0.0254914004914004,97.575,94.8275,95.9979683708594,0.0081315652484539,0.0097782258064516,18.22,,,,,,False,0.5211545454545454,-0.7264110702782626,Down,0.35,Avoid,651.2645254556535,641.8371757096394,632.5462911321702,2025-05-14,-2.7397473,0.4485790812637646,0.1119349937443429,-0.7264110702782626
2025-05-02,431.74,439.44,429.99,435.28,30524245,MSFT,0.0232251998119417,0.1046594254390416,392.062,383.305,391.72066626596336,0.0262408928592081,215.49,217.62,214.91,216.61,4054658.0,0.0167096925604317,0.0359158297465329,204.914,198.955,209.504228838357,0.0177991296416743,0.0167096925604317,,15.0,2.0,0.05,1.0,0.1,False,0.62489,0.135834378923038,Up,0.8,Buy,435.87125988457615,437.056190147237,438.24434168153607,2025-05-04,,,,
2025-05-05,431.71,437.42,431.71,437.42,4586192,MSFT,0.0049163756662378,0.1066639680210495,399.892,387.184,393.5789998625914,0.0226114409907377,214.75,216.3367,214.64,216.05,952915.0,-0.0025852915377868,0.0289565175977521,207.731,200.639,209.80997052742052,0.0132821811380429,-0.0025852915377868,,15.0,2.0,0.05,1.0,0.1,False,0.5813071428571428,-1.196100234366202,Down,0.1,Avoid,432.1880183548354,421.9110457821922,411.8784487145918,2025-05-05,,,,
2025-05-06,431.79,437.73,431.24,435.04,9949143,MSFT,-0.0025907329710892,0.0226610249177245,406.589,390.9805,395.19768254078656,0.0238974674305269,,,,,,,,,,,,,24.76,,,,,,False,0.23074,0.4438241063750356,Up,0.9,Buy,436.970812392374,440.8581834427718,444.7801372461933,2025-05-06,0.54743916,2.090380610738856,-1.306347449576548,0.4438241063750356
2025-05-06,432.2,437.73,431.17,433.31,14901548,MSFT,-0.0065570763693055,0.0185942642219087,406.41600000000005,390.894,395.10700276286457,0.0242966269634295,212.26,215.24,211.61,213.67,3979076.0,-0.0083078065534206,0.0029101149964796,209.793,202.12,209.96795954348576,0.0147591084180467,-0.0083078065534206,24.76,,,,,,False,0.23620625,1.6909511810377589,Up,0.95,Buy,440.6370605625548,455.6649677770921,471.2054010940876,2025-05-07,1.6309696,1.4933022685958923,1.9485816309245487,1.6909511810377589
2025-05-08,437.93,443.67,435.66,438.17,23408400,MSFT,0.0111226491288796,0.0045853680904235,417.399,397.2175,398.2022682912267,0.0238662567583496,217.95,219.94,216.01,217.87,4346536.0,0.0095454334831563,0.0111853708344935,212.814,204.6245,210.4880131962171,0.0087681058142209,0.0095454334831563,22.48,,,,,,False,0.3654363636363636,-2.386749076736624,Down,0.45,Avoid,427.7119815704632,407.5388072017124,388.3171071466289,2025-05-09,-2.1040087,-2.1698415956723327,-2.886396959915956,-2.386749076736624
